dialogue,human_summary,base_model_summary,full_finetune_summary,lora_summary
"#Person1#: I am sorry, sir. I have broken the reading lamp in my room.
#Person2#: Well, sir. May I have your room number?
#Person1#: 503. I would like to pay for it.
#Person2#: Please fill out the form first.
#Person1#: OK, can you bring me a new one?
#Person2#: Of course.",#Person1# broke a reading lamp and #Person2# will replace a new one.,"#Person1#: I am sorry, sir. I have broken the reading lamp in my room.",#Person1# broke the reading lamp in his room and asks for a new one.,"#Person1#: I am sorry, sir. I have broken the reading lamp in my room."
"#Person1#: Excuse me, Sir, do you know what time it is?
#Person2#: Oh, it's almost eleven twenty.
#Person1#: Thank you.
#Person2#: You're welcome. The rain is quite heavy, isn't it?
#Person1#: Yeah. I was in a hurry and I forgot my umbrella today.
#Person2#: I have one. We could share it. Which way are you going?
#Person1#: Oh, that's very kind of you. I am going to the Garden Hotel.
#Person2#: I am going there, too. We can walk together.
#Person1#: Sure.",#Person2# voluntarily shares an umbrella with #Person1# who doesn't bring the umbrella when it's rainy.,#Person1: I'm going to the Garden Hotel.,#Person1# forgets the umbrella because of the heavy rain. #person2# will share it. They will walk together to the Garden Hotel.,#Person1: I'm going to the Garden Hotel.
"#Person1#: Mr. Wilson. We are very regretful about the mistakes in goods. I am very sorry and we will be responsible for the mistake.
#Person2#: We have no choice but to hold you responsible for the loss we sustained.
#Person1#: The first problem is supposed to be solved after the investigation. About the second problem, I admit it's our fault, so we will exchange all merchandise that falls short of our sample.
#Person2#: Well. I hope there won't be such things no more.
#Person1#: I can assure you that such a thing today will never happen again in future delivery. We have made the plan to improve the package of our exported goods.",#Person1# apologizes for the loss caused by them to Mr. Wilson and assures that it will never happen again.,#Person1#: We are very regretful about the mistakes in goods. I am very sorry and we will be responsible for the loss we sustained.,#Person1# apologizes to Mr. Wilson for the mistakes in goods and will exchange all merchandise that falls short of their sample.,#Person1#: We are very regretful about the mistakes in goods. I am very sorry and we will be responsible for the loss we sustained.
"#Person1#: Tom, I've got good news for you.
#Person2#: What is it?
#Person1#: Haven't you heard that your novel has won The Nobel Prize?
#Person2#: Really? I can't believe it. It's like a dream come true. I never expected that I would win The Nobel Prize!
#Person1#: You did a good job. I'm extremely proud of you.
#Person2#: Thanks for the compliment.
#Person1#: You certainly deserve it. Let's celebrate!",#Person2# tells Tom he won the Nobel Prize.,"#Person1#: Tom, I've got good news for you. I never expected that I would win The Nobel Prize.",Tom's novel has won the Nobel Prize. #Person1# is proud of Tom.,"#Person1#: Tom, I've got good news for you. I never expected that I would win The Nobel Prize!"
"#Person1#: do you remember where you were for the terrorist attacks on 9-11?
#Person2#: yes, I was in my apartment in Beijing. Where were you?
#Person1#: I was at home with my parents in New York City.
#Person2#: really? Did you see the hijacked planes crash into and destroy the twin towers?
#Person1#: I didn't see the crash itself, but I did see the smoke and everything afterwards from my parents' apartment building.
#Person2#: that must have been horrible. Did you go out at all that day to see what was going on?
#Person1#: no, we decided to stay in our apartment. With all the buses out of service and the underground trains at a halt, many people had no choice but to walk home. It was utter chaos.
#Person2#: did you know anyone who worked in the World Trade Center?
#Person1#: yes, my uncle's firm had an office in one of the towers.
#Person2#: did he survive?
#Person1#: unfortunately, he wasn't able to evacuate in time. He ended up dying in the tower.
#Person2#: I'm sorry. That must have really been a nightmarish day for you and your family.
#Person1#: it was. The hijackers didn't have any respect for human life not even their own.
#Person2#: terrorist acts are deliberate and deadly and can affect every walk of life.","#Person1# and #Person2# are talking about the terrorist attacks on 9-11, which was nightmarish for #Person1#'s family.",#Person1#: I'm sorry to hear that.,"#Person1# recalls the terrorist attacks on 9-11 in Beijing and the hijacked planes crash into and destroy the twin towers. #Porn1#'s uncle's firm had an office in one of the towers but he couldn't evacuate in time, so he died in the tower.",#Person1#: Do you remember where you were when the terrorist attacks on 9/11 happened?#Person2#: I was at home with my parents in New York City.
"#Person1#: I am interested in buying a house and need some information.
#Person2#: Yes, of course. What area are you interested in?
#Person1#: I am interested in Pasadena or Arcadia.
#Person2#: What size house would you like?
#Person1#: We need a medium-sized house with at least 3 bedrooms and 2 bathrooms.
#Person2#: Are you interested in being in a particular school district?
#Person1#: Yes, we want to stay in the ABC School District.
#Person2#: Would you like a home near the lake or would you prefer a view?
#Person1#: I would love to have a home with a view.
#Person2#: Fine, I will begin a search for the perfect home for you. I will call you in a few days.","#Person1# is buying a house and consulting #Person2# about the location, size and surroundings.",#Person1#: I am interested in buying a medium-sized house with at least 3 bedrooms and 2 bathrooms.,#Person1# is interested in buying a medium-sized house with at least 3 bedrooms and 2 bathrooms in the ABC School District with a view.,#Person1#: I would like to buy a medium-sized house with at least 3 bedrooms and 2 bathrooms.
"#Person1#: Hi honey! You'll never guess what! My friends Julie and Alex are getting married!
#Person2#: Wow that's great news! They're a great couple!
#Person1#: I know! Anyways I just talked to Alex's best man and he is organizing the bachelor party It's gonna be so much fun! All the groomsmen are thinking up all the wacky and crazy things we are going to do that night.
#Person2#: You aren't going to a strip club, are you? I don't want you getting a lap dance from some stripper with the excuse that it's your friends party.
#Person1#: Aw come on! It's just some innocent fun! You know how these things are! We are gonna play drinking games, get him some gag gifts and just have a good time. Nothing too over the top.
#Person2#: Well, I don't know.
#Person1#: Come on! If one of your friends was getting married I wouldn't mind you going to her bachelorette party!
#Person2#: Good, because my friend Wendy is getting married and I'm organizing her party!","#Person1# is going to the bachelor party of Alex, and #Person2# will organise a bachelorette party for Wendy.",The groomsmen are planning a bachelorette party for one of their friends.,#Person1#'s friends Julie and Alex are getting married and they are going to have a bachelor party. The groomsmen are thinking up all the wacky and crazy things they're going to do that night.,The groomsmen are planning a bachelorette party for Julie and Alex.
"#Person1#: Freedom Travel. How may I help you?
#Person2#: Yes, I'd like to make a flight reservation for the twenty third of this month.
#Person1#: Okay. What is your destination?
#Person2#: Well. I'm flying to Helsinki, Finland.
#Person1#: Okay. Let me check what flights are available?.
#Person2#: Okay.
#Person1#: And when will you be returning?
#Person2#: Uh, well, I'd like to catch a return flight on the twenty ninth. Oh, and I'd like the cheapest flight available.
#Person1#: Okay. Let me see. Um, hmm ...
#Person2#: Yeah?
#Person1#: Well, the price for the flight is almost double the price you would pay if you leave the day before 12 AM.
#Person2#: Whoo. Let's go with the cheaper flight. By the way, how much is it?
#Person1#: It's only $980.
#Person2#: Alright. Well, let's go with that.
#Person1#: Okay. That's flight 1070 from Salt Lake City to New York, Kennedy Airport, transferring to flight 90 from Kennedy to Helsinki.
#Person2#: And what are the departure and arrival times for each of those flights?
#Person1#: It leaves Salt Lake City at 10:00 AM, arriving in New York at 4:35 PM, then transferring to flight 90 at 5:55 PM, and arriving in Helsinki at 8:30 AM the next day.
#Person2#: Alright. And, uh, I'd like to request a vegetarian meal.
#Person1#: Sure, no problem. And could I have you name please?",#Person2# is asking #Person1# to make a flight reservation. #Person2# chooses the cheapest flight and asks #Person1# for their departure and arrival times.,"If you'd like to make a reservation for a flight from Salt Lake City to New York, please contact Freedom Travel.",#Person2# calls Freedom Travel to make a flight reservation for the twenty-third of this month and wants to catch a return flight on the twenty ninth. They decide to go with the cheapest flight and request a vegetarian meal.,"I'd like to make a reservation for a flight from Salt Lake City to New York, Kennedy Airport."
"#Person1#: OK, Let me just have a look at the information here. You've been with a company for 6 years.
#Person2#: That's right.
#Person1#: Do you feel the same way as you did 6 years ago?
#Person2#: Well, not really. I used to be more enthusiastic. Maybe it's because I'm older now.
#Person1#: Well. You're only 28. That's not exactly old. What else has changed?
#Person2#: I work longer hours now. I go home after 7 nearly every day, but I earn much more than before.
#Person1#: I see. What about the company? Is it helping you to develop new skills?
#Person2#: Yes, up to a point. I've done 2 management training courses in the last couple of years, so I think I'm ready for promotion now.
#Person1#: Do you get the opportunity to travel much?
#Person2#: Not much, but I don't really mind that. You see, I have to look after my mother.","#Person1# has been working for a company for six years, and #Person2# thinks #Person2#'s ready for promotion.","#Person1#: OK, let me just have a look at the information here.",#Person2# has been with a company for 6 years and feels more enthusiastic now than 6 years ago. The company is helping #person1# to develop new skills and #Pear2# doesn't mind traveling much.,"#Person1#: OK, let me just have a look at the information here."
"#Person1#: What do you think of my new suit?
#Person2#: Not bad. It reminds me of the one I saw at the new department store last week. Did you get it there?
#Person1#: No, I got it in that big shopping center. It cost me only $ 150.
#Person2#: Well, I don't think it's a good bargain.",#Person1#'s new suit cost $150. #Person2# doesn't think it's a good bargain.,"#Person1#: Well, I don't think it's a good bargain.","#Person1#'s new suit reminds of the one at the new department store, but #person2# thinks it's a good bargain.","#Person1#: Well, I don't think it's a good bargain."
"#Person1#: There are so many jobs to choose from. What do you want to do?
#Person2#: I think working in the media could be fun. There's TV, newspapers, the Internet.
#Person1#: Well, let me have a look. Uhm, how about this? You could become a TV news director.
#Person2#: Are you joking? Directing the news would be very stressful.
#Person1#: Well, writing for a magazine would be exciting. How about that?
#Person2#: No, I'm more interested in working with computers. Hey, look, interactive media. I'd like that.",#Person1# and #Person2# are looking at jobs. #Person2# is interested in the media industry.,"#Person1#: Well, I'm interested in working with computers.","#Person2# thinks working in the media could be fun, but #person1# prefers working with computers.","#Person1#: Well, I'm interested in working with computers."
"#Person1#: What's the matter, Lisa? You don't look too good.
#Person2#: I just found out that my husband is cheating on me.
#Person1#: You mean Mark? He seems like such an honest guy.
#Person2#: That's what I thought. It seems that he's been seeing someone else for about two months.
#Person1#: Two months? How did you find out?
#Person2#: I asked for leave and was at home when the telephone rang. I picked it up and a girl asked to talk to Mark. She then asked if I was his sister, and I said no, I was his wife. She hung up immediately.
#Person1#: So you asked him about the girl who called?
#Person2#: Yeah, he first said it was someone from work. He gave me a lame excuse, and so I pressed him on it.
#Person1#: What'd he do?
#Person2#: He kept trying to make stupid excuses, and then broke down and admitted to a small indiscretion.
#Person1#: Indiscretion? How can an indiscretion last two months? I mean, you two have been married for two years! How can he do that to you?
#Person2#: I told him I would divorce him if he wouldn't tell me the truth or end the relationship with her.
#Person1#: Good. I totally agree with what you did.",Lisa has found her husband cheating on her. Her husband first denied and then only admitted to a small indiscretion. #Person1# supports Lisa to seek the truth.,"Person1: What's the matter, Lisa?",Lisa tells #Person1# she found out her husband Mark is cheating on her and she tells him she would divorce him if he wouldn't tell the truth or end the relationship with her.,I'm sorry to hear that.
"#Person1#: Well, I'm glad I had a chance to see these samples, but I'm really not in a position to make a decision right now.
#Person2#: Would you like me to leave the samples with you?
#Person1#: Yeah, why don't you do that, and then you can give me a call sometime next week.
#Person2#: Fine, Mr. Grant. Thanks for your time. I'll talk to you next week.",#Person2# leaves the samples to Mr. Grant and will talk to him next week.,"#Person1#: Well, I'm really not in a position to make a decision right now.",Mr. Grant is not in a position to make a decision right now. #Person2# will leave the samples with him.,"#Person1#: Well, I'm really not in a position to make a decision right now."
"#Person1#: Jimmy, I called you yesterday, but you didn't pick up.
#Person2#: I'm sorry Amy, I came home very late yesterday evening because Jennie and Bill invited me for a picnic.
#Person1#: Oh, how lovely, did you enjoy yourself?
#Person2#: Yes, I had a great time.
#Person1#: When did you go to have the picnic?
#Person2#: Jenny and Bill came in their car at about 9:00 o'clock in the morning and we left soon afterwards.
#Person1#: And where did you go for the picnic?
#Person2#: We went to Beihai Park.
#Person1#: Oh, it's lovely in Beihai Park at this time of year.
#Person2#: Yes, it was sunny and there were lots of people, we had lunch near the river. Then, after lunch. We went for a walk along the river and looked at the beautiful view there.
#Person1#: What did you do then?
#Person2#: We had a drink in a bar there and made some friends, we played cards and laughed, then we started to drive home. It took us a long time to arrive home because there was a lot of traffic on the road.
#Person1#: Well, that was a lovely day.
#Person2#: That's right. So why did you call me?
#Person1#: Oh, I wanted to give your book back, so are you free now?
#Person2#: Ok, let's meet at the cafe downstairs in 30 minutes.
#Person1#: Well, see you then.",Amy called Jimmy to return his book but Jimmy went to Beihai Park for picnic so Amy didn't reach him. They will meet later.,"#Person1#: I'm sorry, but I didn't pick up yesterday.",Jimmy didn't pick up Amy because he came home late yesterday evening because Jennie and Bill invited him for a picnic. Jimmy tells Amy he had a great time at the picnic. Amy wants to give Jimmy his book back.,"#Person1#: I'm sorry, but I didn't pick up yesterday."
"#Person1#: I don't know if you've heard of it, Peter, but some of us are thinking of going to Xi'an in the summer. I don't know if you'd like to come with us.
#Person2#: Well, that's very kind of you, Jane, but when are you thinking of going?
#Person1#: Oh, some time in July. Around the 16th, I think.
#Person2#: I see. And for how long? About two weeks?
#Person1#: Well, we were going to but now one or two of the other students say they don't have enough money, so it'll just be a week. You're interested, then?
#Person2#: Oh, yes, very much. Do you know how much it's going to cost?
#Person1#: Yes, about 2000 yuan altogether.
#Person2#: Oh, that's good. Is everybody going?
#Person1#: Yes, most of them, not Monica, of course. She's off to Harbin again.
#Person2#: Lucky thing! It must be nice to have parents living in the north.
#Person1#: Yes, it must. But if you had a lot of money, Peter, where would you like to go for a holiday?
#Person2#: Oh, I'd probably go to Xinjiang, or Tibet maybe. Somewhere far away, anyway. And you?
#Person1#: I don't know really. Perhaps the southwest.
#Person2#: Yes, that would be great.",Jane invites Peter to go on a trip with their friends together to Xi'an in the summer. Peter asks about the trip and is interested. They also talk about their ideal place for a holiday.,Person1: I'd like to go to Xi'an in the summer.,Jane invites Peter to go to Xi'an in the summer but Peter doesn't have enough money. Jane suggests going to the southwest if Peter had a lot of money.,"I'd like to go to Xi'an in the summer, but I don't have enough money."
"#Person1#: Hi, Tom! This is Marry with Hans furniture store.
#Person2#: Yes, Marry?
#Person1#: I just wanted to let you to know that we had decided to offer the sales position to someone else.
#Person2#: I see.
#Person1#: We considered you very carefully but the other candidate has more experience.
#Person2#: Maybe so. But I'm fast learner and I'm willing to work overtime to learn the business.
#Person1#: I'm sure you are.
#Person2#: I must to ask you to reconsider your decision and give me a chance.",Tom wants Marry to reconsider the decision of offering the sales position to someone else instead of him.,"#Person1#: Hi, Tom! This is Marry with Hans furniture store.",Marry tells Tom they had decided to offer the sales position to someone else. Tom wants to reconsider his decision and give him a chance.,"#Person1#: Hi, Tom! This is Marry with Hans furniture store."
"#Person1#: Who stands out in your mind as a man or woman of sound character?
#Person2#: If I think of famous people, I think of Abraham Lincoln.
#Person1#: He's the US president, who walked five miles just to give a lady her change, isn't he?
#Person2#: That's the one. He also was famous for never giving up on his goals.
#Person1#: That's right. He ran for office quite a few times before he was finally elected.
#Person2#: And I also admire him for his courage in fighting for equal rights.
#Person1#: He had great vision, didn't he?
#Person2#: And humility. I would have liked to meet him personally.",#Person1# and #Person2# talk about Abraham Lincoln and his glorious history. They both admire him.,#Person1#: That's right. He was a man of sound character.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage in fighting for equal rights.,#Person1#: That's right. He was a man of sound character.
"#Person1#: Excuse me. I'm a stranger here and lost my way.
#Person2#: Can I help you?
#Person1#: Sure. Can I get to the central department stall this way?
#Person2#: uh. . . Yes. Turn right, then take the second turning on your left.
#Person1#: Is it far?
#Person2#: It's about fifteen minutes'walk. That's all.
#Person1#: And do you know where the national bank is?
#Person2#: Yes. It's on this street. Keep walking for two blocks and it's on the corner on the right.
#Person1#: Thanks very much.
#Person2#: You are welcome. Good luck.
#Person1#: Thank you. I won't miss it.",#Person2# shows #Person1# the ways to the central department stall and the national bank.,#Person1#: Excuse me. I'm a stranger here and lost my way.,#Person1# lost the way to the central department stall and the national bank and asks for help.,#Person1#: Excuse me. I'm a stranger here and lost my way.
"#Person1#: How come you're still up? Shouldn't you be asleep by now? 
#Person2#: I've been having a hard time sleeping lately. 
#Person1#: As far as I know, insomnia is usually caused by stress. Are you stressed at all? 
#Person2#: Well, I'm really worried about my grades. I didn't think this course would be so stressful. 
#Person1#: You're a good student. I'm sure you can do well. What you need to do is to relax. 
#Person2#: You're probably right. I just wish it were that simple. How can I stop feeling so anxious all the time? 
#Person1#: Taking a yoga class or learning some relaxation techniques can help you cope with your stress. 
#Person2#: I don't really have time to learn anything new. I need to spend my time studying! 
#Person1#: You need to take some breaks throughout the day. Studying all day isn't very usually effective. 
#Person2#: You're right. I usually end up staring at my computer or checking my email instead of doing my work for class. 
#Person1#: How about listen to some music. I heard that listening to music can make people calm down and release their stress. At least you don't have to learn to listen.
#Person2#: Really? What kind of music do you suggest?
#Person1#: Maybe you should listen to light music or classical music. Just don't listen to some rock and roll.
#Person2#: That's fantastic. I'm going to go try that out in my room now. good night!
#Person1#: Good night, sleep tight. Don't let the bed bugs bite!",#Person2# is too stressed to sleep well because of worrying about #Person2#'s grades. #Person1# gives #Person2# some suggestions that #Person2# should listen to some music and relax. #Person2#'ll try it now.,"Person1: I'm still up, but I can't sleep.","#Person2# has been having a hard time sleeping lately because of the stress of the course and worries about the grades, so she wants to relax and listen to some music to relieve her stress.","You're still up, but it's not too late."
"#Person1#: Hi, my name's Karl. My wife and I are moving in next door.
#Person2#: Hello, Karl. I'm Chuck Jones. We're going to be neighbors.
#Person1#: I'm happy to meet you. It seems everyone in town is so friendly.
#Person2#: This is a small town, and we like to be neighborly. We know everyone who lives around here.
#Person1#: Well, I'm from Chicago. There are few people take the time to get to know their neighbors.
#Person2#: So, tell me, Karl, why did you come all the way to Minnesota to live?
#Person1#: We wanted to live in a more peaceful community and have more space. Another reason is, we can afford to buy a home here, but we can't in Chicago!",Karl and his wife moved to Minnesota and greet their friendly neighbour Chuck Jones and tells him why they moved here.,"#Person1#: Hello, Karl. I'm Chuck Jones. We're going to be neighbors.",Chuck Jones and Karl are moving in next door. Chuck tells Karl they like to be neighborly and they want to live in a more peaceful community.,"#Person1#: Hello, Karl. I'm Chuck Jones. We're going to be neighbors."
